Jered Stevens
Discrete Structures - Stringfellow
Program 2: Sequences
Date: 10/11/22


         n         m       max       sum
        23        43       112    101440

       975        98       179   1634376

        10       890       179   1634376

       700        32       145    163901

        54       678       145    163901

       345        97       144    175427

        25        76       116    102719

        87       676       145    163901

         1         3         8        49

